"Acc_CSD","Construction Site Delivery option"
"Acc_GRD_DEL","Liftgate-Ground Delivery option"
"Acc_IDEL","Inside Delivery option"
"Acc_LAD","Limited Access Delivery option"
"Acc_RDEL","Residential Delivery option"
"Acc_FLATBD","Flatbed Delivery option"
"Acc_GRD_PU","Liftgate-Ground Pickup option"
"Acc_IPU","Inside Pickup option"
"Acc_LAP","Limited Access Pickup option"
"Acc_RPU","Residential Pickup option"
"C","Church"
"M","Military Site"
"S","School"
"U","Mini-Storage"
"O","Other type of limited access"
"Limited Delivery Options?","Limited Delivery Options?"
"One or more addresses are invalid or suggestions are supplied","One or more addresses are invalid or suggestions are supplied:"
"Our quote system was not able to complete your quote automatically. (40)","Our quote system was not able to complete your quote automatically. (40)"
"Est. Delivery:","Est. Delivery:"
